appid,name,missing_fields,source_appdetails,source_html_fallback
3894300,Heroes Saga,"price_twd_original,review_count",True,False
3902860,Dominated by: Yandere Goth Girlfriend 5,review_count,True,False
3965760,Yandere Goth BDSM 5,review_count,True,False
4086520,Femdom Girlfriend 8: Sensual Femdom,review_count,True,False
1220650,My Forest Home!,"price_twd_original,review_count",True,False
2869350,PARADISE SHOOTING!!,review_count,True,False
4587580,Hentai World Fall,"price_twd_original,review_count",True,False
4486200,Milf Diner Sim,"price_twd_original,review_count",True,False
3995190,Obsessed Lucy,"price_twd_original,review_count",True,False
4067250,Medieval Desires,"price_twd_original,review_count",True,False
2962470,貝爾蘭德的侵蝕-姬騎士莉絲緹亞,"price_twd_original,release_date,review_count",True,False
4320510,Boob Simulator,"price_twd_original,review_count",True,False
4438420,InfiniTease,"price_twd_original,review_count",True,False
4381280,Claiming the Noble Elf Mother,"price_twd_original,review_count",True,False
2273490,Convenient Encounters,"price_twd_original,review_count",True,False
3942470,Origin Story - Season 1,"price_twd_original,review_count",True,False
4600820,Jackie Snape Clicker,"price_twd_original,review_count",True,False
3860760,One Week Away,"price_twd_original,review_count",True,False
4014500,Forbidden Files: Hidden Desire,"price_twd_original,review_count",True,False
2238230,Akrivos VIP,review_count,True,False
3818120,Dominated by: Yandere Goth Boxer,review_count,True,False
2515180,調教カテイ～性開発された肢体は元カレを忘れられない～,review_count,True,False
4069380,Xeno Girlfriend 2,review_count,True,False
4075090,Palauan Dominatrixes Are the Best,review_count,True,False
3569710,乳膠魔塔,"price_twd_original,review_count",True,False
4079520,My Giant Sexy Sensei Bullies Me 5,review_count,True,False
4619430,No Fap Island 2,"price_twd_original,release_date,review_count",True,False
3703610,Daily Waifu!,"price_twd_original,review_count",True,False
4575490,Full Thrust at Work,"price_twd_original,review_count",True,False
3908590,High Desire - Season One,"price_twd_original,release_date,review_count",True,False
3367820,My Femboy Roommate: Special Weekend,"price_twd_original,review_count",True,False
4450550,Femboy Next Door 🔞🚪,"price_twd_original,release_date,review_count",True,False
4207810,Re-Do U,"price_twd_original,review_count",True,False
4394050,Big Breasted Milky Mommies 7,review_count,True,False
3917780,Simping for My Hot Goth Girlfriend,review_count,True,False
2201980,Hentai Beach 2,"price_twd_original,review_count",True,False
2921940,Jen's Suika: Merge & Date,"price_twd_original,review_count",True,False
3443660,Love Comp,"price_twd_original,review_count",True,False
1968250,做愛發電公司,"price_twd_original,review_count",True,False
4029150,Tenant Tails,"price_twd_original,release_date,review_count",True,False
4546270,精靈密友,"price_twd_original,review_count",True,False
4152120,天下功夫出少女,"price_twd_original,review_count",True,False
4178920,My Dorm - Season 2,"price_twd_original,release_date,review_count",True,False
4011180,NTR偶像: Déjà Vu,"price_twd_original,release_date,review_count",True,False
4371480,ハメ堕ち人妻ナース,review_count,True,False
4533800,Horny: Zero Moan 🔞🦕,"price_twd_original,release_date,review_count",True,False
4183200,Pig Island 🐗,"price_twd_original,review_count",True,False
4272540,戀人日常,"price_twd_original,review_count",True,False
4101490,Puppet Mistress,"price_twd_original,review_count",True,False
3963610,Yandere Goth BDSM 4,review_count,True,False
4131760,Femdom Hero 4,review_count,True,False
4485660,Forgetting,"price_twd_original,review_count",True,False
4307450,Eruption Imminent - Season 1,"price_twd_original,release_date,review_count",True,False
3845590,Dominated by: Yandere Goth Idol Sister,review_count,True,False
