appid,name,price_twd_original,price_usd_original,lowest_discount_percent,lowest_price_twd,lowest_price_usd,is_free,release_date,coming_soon,developer,publisher,header_image,genres,categories,review_count,review_positive,review_negative,review_score,review_score_desc,positive_ratio,has_reviews,source_appdetails,source_html_fallback,fetched_at,est_sales_low
2175390,Going Rogue,275,,,,,False,2022-11-11,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2175390/header.jpg?t=1767134716,,,361,288,73,6,Mostly Positive,0.7978,True,True,False,2026-04-23T03:49:38Z,72200
828070,寶藏獵人克萊兒,318,,,,,False,2018-07-19,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/828070/header.jpg?t=1749388786,,,2366,2096,270,8,Very Positive,0.8859,True,True,False,2026-04-23T03:49:38Z,473200
1894600,怪物,66,,,,,False,2022-09-02,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1894600/header.jpg?t=1720593833,,,289,234,55,8,Very Positive,0.8097,True,True,False,2026-04-23T03:49:38Z,57800
1925030,隨侍神側,118,,,,,False,2024-06-07,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1925030/header_tchinese.jpg?t=1775094293,,,44,39,5,7,Positive,0.8864,True,True,False,2026-04-23T03:49:38Z,8800
2602760,暗號撕裂,226,,,,,False,2025-01-23,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2602760/header_tchinese.jpg?t=1767862890,,,85,73,12,8,Very Positive,0.8588,True,True,False,2026-04-23T03:49:38Z,17000
1117630,撿到貓女僕！,49,,,,,False,2019-08-09,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1117630/header.jpg?t=1720860980,,,955,787,168,8,Very Positive,0.8241,True,True,False,2026-04-23T03:49:38Z,191000
852480,Snow Daze: The Music of Winter Special Edition,186,,,,,False,2018-10-29,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/852480/header.jpg?t=1730717784,,,1369,1265,104,8,Very Positive,0.924,True,True,False,2026-04-23T03:49:38Z,273800
2923560,My Special Summer Vacation 2,268,,,,,False,2024-06-27,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2923560/header.jpg?t=1749284507,,,121,95,26,6,Mostly Positive,0.7851,True,True,False,2026-04-23T03:49:38Z,24200
3112280,Reclaiming the Lost,275,,,,,False,2024-11-21,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3112280/header.jpg?t=1764181489,,,232,184,48,6,Mostly Positive,0.7931,True,True,False,2026-04-23T03:49:38Z,46400
1328890,魅魔之戀,318,,,,,False,2020-10-22,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1328890/header.jpg?t=1749385635,,,1242,1138,104,8,Very Positive,0.9163,True,True,False,2026-04-23T03:49:38Z,248400
2280520,Vampire Mansion,82,,,,,False,2023-09-08,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2280520/header.jpg?t=1773981012,,,958,894,64,8,Very Positive,0.9332,True,True,False,2026-04-23T03:49:38Z,191600
2421360,在赛博世界和100个道侣修仙,298,,,,,False,2026-01-07,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2421360/eaee658e6f8618548a357f6b82ae77dc263fa837/header.jpg?t=1774580980,,,258,187,71,6,Mostly Positive,0.7248,True,True,False,2026-04-23T03:49:38Z,51600
